# Dataset: Baghewala Digital Twin - Anomaly Detection Labels
# Version: 1.3.0
# Generated: 2026-08-27T13:55:00Z
# Description: 500 labeled windows (300 anomalies + 200 normal) for sensor health detection
# Schema: WellState Canonical v1.0 (Anomaly Domain)
# Anomaly Types: 6 sensor fault types + normal baseline
# Rule Categories: 15 physical plausibility + 6 cross-sensor consistency checks
# Field: Baghewala, Jaisalmer, Rajasthan
# Random Seed: 42
anomaly_id,well_id,ts_start,ts_end,duration_minutes,anomaly_type,affected_sensor,anomaly_score,is_anomaly,rule_triggered,description,label_source
ANM-00000,BGW-06,2025-01-01T00:00:00Z,2025-01-01T00:19:00Z,47.14279048214536,none,temp_2,0.14479615340700258,False,,Normal window,ground_truth
ANM-00001,BGW-01,2025-01-02T00:00:00Z,2025-01-02T00:36:00Z,35.24835585468472,none,flow_rate,0.13951518052402442,False,,Normal window,ground_truth
ANM-00002,BGW-05,2025-01-03T00:00:00Z,2025-01-03T00:10:00Z,30.137164269883137,sensor_stuck_at,pressure_out,0.9035906904477665,True,Rule-3,Detected sensor_stuck_at on pressure_out,ground_truth
ANM-00003,BGW-12,2025-01-04T00:00:00Z,2025-01-04T00:46:00Z,47.98311032236635,sensor_bias_drift,motor_current,0.8629822941149903,True,Rule-12,Detected sensor_bias_drift on motor_current,ground_truth
ANM-00004,BGW-14,2025-01-05T00:00:00Z,2025-01-05T00:29:00Z,30.865732963393807,none,pressure_out,0.3774792969724463,False,,Normal window,ground_truth
ANM-00005,BGW-19,2025-01-06T00:00:00Z,2025-01-06T00:50:00Z,51.95611512120995,none,rod_load,0.18609357462046228,False,,Normal window,ground_truth
ANM-00006,BGW-13,2025-01-07T00:00:00Z,2025-01-07T00:27:00Z,13.7723986275113,sensor_dropout,flow_rate,0.6102988367976493,True,Rule-11,Detected sensor_dropout on flow_rate,ground_truth
ANM-00007,BGW-12,2025-01-08T00:00:00Z,2025-01-08T00:20:00Z,25.476846854723277,sensor_bias_drift,rod_load,0.7494726298260144,True,Rule-4,Detected sensor_bias_drift on rod_load,ground_truth
ANM-00008,BGW-09,2025-01-09T00:00:00Z,2025-01-09T00:33:00Z,56.28247979860742,sensor_dropout,pressure_in,0.9396477380467579,True,Rule-10,Detected sensor_dropout on pressure_in,ground_truth
ANM-00009,BGW-12,2025-01-10T00:00:00Z,2025-01-10T00:34:00Z,59.97367733601682,rate_of_change_violation,temp_1,0.8916808420109343,True,Rule-14,Detected rate_of_change_violation on temp_1,ground_truth
