# Dataset: Baghewala Digital Twin - CSS Cycle Configuration Records
# Version: 1.3.0
# Generated: 2026-08-27T13:55:00Z
# Description: CSS cycle-level configuration and performance records
# Schema: WellState Canonical v1.0 (Episodic Domain)
# Field: Baghewala, Jaisalmer, Rajasthan
# Wells: BGW-04, BGW-05, BGW-08, BGW-11, BGW-15
# Random Seed: 42
cycle_id,well_id,cycle_number,inject_start,inject_end,soak_start,soak_end,produce_start,produce_end,inject_duration_days,soak_duration_days,produce_duration_days,total_cycle_days,steam_volume_m3,steam_temp_c,steam_pressure_kg_cm2,steam_quality_pct,peak_bht_c,thermal_tau_days,total_oil_produced_bbl,total_water_produced_bbl,cycle_sor,peak_oil_rate_bopd,cutoff_oil_rate_bopd,cutoff_reason,energy_consumed_kwh,cycle_net_value_inr,source
CYC-566,BGW-04,1,2025-01-01T00:00:00Z,2025-01-11T23:49:24Z,2025-01-11T23:49:24Z,2025-01-21T14:21:37Z,2025-01-21T14:21:37Z,2025-04-05T12:25:54Z,10.99,9.61,73.92,94.52,1996.65,257.0,98.4,71.7,151.4,15.2,1624.07,949.46,7.73,43.94,24.44,rod_risk,8185.09,172729.99,synthetic
CYC-781,BGW-04,2,2025-04-19T04:27:57Z,2025-04-29T01:17:42Z,2025-04-29T01:17:42Z,2025-05-05T06:02:53Z,2025-05-05T06:02:53Z,2025-06-30T04:02:56Z,9.87,6.2,55.92,71.98,1228.07,253.3,119.0,69.7,147.2,14.9,3447.41,3701.46,2.24,123.31,29.66,economic,5696.76,343017.94,synthetic
CYC-664,BGW-04,3,2025-07-13T13:54:02Z,2025-07-19T14:52:49Z,2025-07-19T14:52:49Z,2025-07-29T05:03:59Z,2025-07-29T05:03:59Z,2025-10-25T03:34:35Z,6.04,9.59,87.94,103.57,2520.99,266.2,89.6,78.7,188.8,16.7,2218.46,1686.13,7.15,50.46,17.82,rod_risk,14937.83,224684.43,synthetic
CYC-369,BGW-05,1,2025-01-01T00:00:00Z,2025-01-14T17:56:12Z,2025-01-14T17:56:12Z,2025-01-18T05:25:43Z,2025-01-18T05:25:43Z,2025-04-16T09:37:50Z,13.75,3.48,88.18,105.4,2437.83,300.9,93.1,76.4,181.7,17.7,4758.0,8406.43,3.22,107.92,24.95,scheduled,17431.06,242701.33,synthetic
CYC-443,BGW-05,2,2025-05-02T00:28:45Z,2025-05-15T16:52:28Z,2025-05-15T16:52:28Z,2025-05-18T19:55:55Z,2025-05-18T19:55:55Z,2025-08-04T23:05:44Z,13.68,3.13,78.13,94.94,686.38,277.6,91.7,65.3,155.9,15.7,4947.55,8337.92,0.87,126.65,22.12,rod_risk,10376.99,146347.62,synthetic
CYC-198,BGW-05,3,2025-09-01T05:23:06Z,2025-09-16T04:43:54Z,2025-09-16T04:43:54Z,2025-09-20T20:15:51Z,2025-09-20T20:15:51Z,2025-10-24T15:47:17Z,14.97,4.65,33.81,53.43,1277.46,291.4,91.0,76.2,170.6,17.8,2300.73,4080.05,3.49,136.08,24.43,scheduled,16564.51,297518.24,synthetic
CYC-663,BGW-08,1,2025-01-01T00:00:00Z,2025-01-12T20:10:32Z,2025-01-12T20:10:32Z,2025-01-15T01:03:22Z,2025-01-15T01:03:22Z,2025-02-20T12:25:11Z,11.84,2.2,36.47,50.52,578.57,289.4,107.8,67.8,188.4,14.3,3545.64,2852.79,1.03,194.42,28.86,scheduled,9346.27,164488.51,synthetic
CYC-897,BGW-08,2,2025-03-21T02:40:29Z,2025-04-08T00:59:34Z,2025-04-08T00:59:34Z,2025-04-15T02:36:23Z,2025-04-15T02:36:23Z,2025-07-06T09:30:35Z,17.93,7.07,82.29,107.28,2509.18,311.8,93.0,67.4,168.5,17.3,1746.28,1585.97,9.04,42.44,22.95,economic,17270.22,444292.23,synthetic
CYC-926,BGW-08,3,2025-07-16T12:50:48Z,2025-07-29T16:58:25Z,2025-07-29T16:58:25Z,2025-08-04T01:06:59Z,2025-08-04T01:06:59Z,2025-09-16T08:57:06Z,13.17,5.34,43.33,61.84,799.66,272.6,100.8,79.1,169.1,17.8,2350.46,4568.52,2.14,108.5,15.04,rod_risk,15684.06,159234.77,synthetic
CYC-484,BGW-11,1,2025-01-01T00:00:00Z,2025-01-10T06:26:38Z,2025-01-10T06:26:38Z,2025-01-20T01:57:14Z,2025-01-20T01:57:14Z,2025-03-15T17:50:50Z,9.27,9.81,54.66,73.74,582.63,266.8,85.8,74.8,218.9,11.9,2380.28,3589.95,1.54,87.09,25.23,scheduled,8632.4,421255.9,synthetic
CYC-286,BGW-11,2,2025-04-04T03:35:29Z,2025-04-24T21:13:33Z,2025-04-24T21:13:33Z,2025-04-30T01:48:01Z,2025-04-30T01:48:01Z,2025-07-18T01:27:44Z,20.73,5.19,78.99,104.91,2495.86,263.1,81.6,76.8,194.2,10.1,1602.87,2032.66,9.79,40.59,14.53,manual,6442.65,476209.31,synthetic
CYC-514,BGW-11,3,2025-08-05T00:17:48Z,2025-08-18T07:06:48Z,2025-08-18T07:06:48Z,2025-08-26T23:57:13Z,2025-08-26T23:57:13Z,2025-11-05T12:56:50Z,13.28,8.7,70.54,92.53,2338.04,311.4,90.3,78.2,205.4,14.4,1836.29,2377.03,8.01,52.06,14.84,manual,19481.29,323317.38,synthetic
CYC-153,BGW-15,1,2025-01-01T00:00:00Z,2025-01-09T00:27:48Z,2025-01-09T00:27:48Z,2025-01-13T06:00:24Z,2025-01-13T06:00:24Z,2025-03-26T06:31:19Z,8.02,4.23,72.02,84.27,2616.65,304.6,105.7,66.7,152.9,17.2,4425.3,6238.09,3.72,122.89,10.18,rod_risk,19102.0,489465.53,synthetic
