# Dataset: Baghewala Digital Twin - Maintenance & Failure Event Log
# Version: 1.3.0
# Generated: 2026-08-27T13:55:00Z
# Description: 150 maintenance/failure events across 5 wells over 3 years
# Schema: WellState Canonical v1.0 (Event Domain)
# Label Source: weak (derived from workover logs, not direct observation)
# Event Types: 8 categories | Severity Levels: critical/warning/info
# Field: Baghewala, Jaisalmer, Rajasthan
# Random Seed: 42
event_id,well_id,cycle_id,ts,cycle_day,event_type,severity,failure_depth_m,description,downtime_hours,repair_cost_inr,root_cause,preceding_fmi,preceding_viscosity_cp,preceding_spm,preceding_motor_current_a,corrective_action,mtbf_days,label_source,source
EVT-00076,BGW-15,CYC-014,2023-08-30T02:35:10Z,59.1,pump_unseating,warning,,Pump Unseating occurred on well BGW-15,165.9,272406.65,high_viscosity,0.381,177.6,4.1,47.6,pump_reset,,weak,synthetic
EVT-00085,BGW-08,CYC-014,2023-09-02T16:36:24Z,12.9,pump_unseating,warning,,Pump Unseating occurred on well BGW-08,111.1,39444.78,unknown,0.182,2675.9,5.5,35.9,pump_reset,,weak,synthetic
EVT-00011,BGW-15,CYC-014,2023-09-04T13:46:44Z,35.5,rod_failure,critical,1085.2,Rod Failure occurred on well BGW-15,19.2,439672.85,mechanical_fatigue,0.13,10196.9,4.6,29.9,rod_replacement,5.5,weak,synthetic
EVT-00036,BGW-08,CYC-007,2023-09-09T20:48:07Z,50.2,valve_replacement,warning,,Valve Replacement occurred on well BGW-08,19.5,480589.85,thermal_stress,0.302,3682.3,7.9,29.5,valve_swap,7.2,weak,synthetic
EVT-00138,BGW-05,CYC-006,2023-09-16T18:07:42Z,28.0,routine_maintenance,info,,Routine Maintenance occurred on well BGW-05,70.6,105926.38,unknown,0.397,2617.5,6.2,54.9,parameter_adjustment,,weak,synthetic
EVT-00073,BGW-08,CYC-006,2023-10-01T20:34:09Z,16.9,interlock_trip,warning,,Interlock Trip occurred on well BGW-08,75.8,121875.76,unknown,0.493,1868.3,7.6,42.6,parameter_adjustment,22.0,weak,synthetic
EVT-00058,BGW-11,CYC-012,2023-10-13T20:05:54Z,31.0,routine_maintenance,info,,Routine Maintenance occurred on well BGW-11,153.6,193709.42,unknown,0.488,674.9,7.9,31.6,parameter_adjustment,,weak,synthetic
EVT-00088,BGW-08,CYC-007,2023-10-15T18:39:29Z,59.1,valve_replacement,warning,,Valve Replacement occurred on well BGW-08,11.1,106189.45,corrosion,0.417,1482.8,4.5,37.4,valve_swap,13.9,weak,synthetic
EVT-00007,BGW-15,CYC-006,2023-11-01T19:25:40Z,8.1,interlock_trip,warning,,Interlock Trip occurred on well BGW-15,99.0,253910.94,operator_error,0.486,446.6,4.7,40.8,parameter_adjustment,58.2,weak,synthetic
EVT-00048,BGW-05,CYC-003,2023-11-13T06:21:51Z,48.6,rod_failure,critical,765.3,Rod Failure occurred on well BGW-05,138.8,460990.3,mechanical_fatigue,0.092,7128.6,5.6,29.5,rod_replacement,57.5,weak,synthetic
EVT-00133,BGW-08,CYC-009,2023-11-15T14:10:44Z,29.8,interlock_trip,warning,,Interlock Trip occurred on well BGW-08,93.3,413529.1,operator_error,0.491,1999.8,7.2,31.9,parameter_adjustment,30.8,weak,synthetic
EVT-00101,BGW-05,CYC-014,2023-11-19T13:45:01Z,48.3,rod_failure,critical,682.3,Rod Failure occurred on well BGW-05,91.6,370628.78,thermal_stress,0.11,11134.7,6.5,40.9,rod_replacement,6.3,weak,synthetic
EVT-00091,BGW-08,CYC-014,2023-12-01T14:10:06Z,10.8,rod_failure,critical,613.9,Rod Failure occurred on well BGW-08,68.5,43930.31,mechanical_fatigue,0.07,10453.8,4.3,42.2,rod_replacement,16.0,weak,synthetic
EVT-00100,BGW-15,CYC-011,2023-12-07T10:11:12Z,28.3,interlock_trip,warning,,Interlock Trip occurred on well BGW-15,62.1,184485.85,operator_error,0.27,3842.5,4.8,55.0,parameter_adjustment,35.6,weak,synthetic
EVT-00098,BGW-08,CYC-011,2023-12-08T13:53:03Z,26.3,valve_replacement,warning,,Valve Replacement occurred on well BGW-08,43.8,426525.3,corrosion,0.179,3334.9,7.7,30.9,valve_swap,7.0,weak,synthetic
EVT-00072,BGW-04,CYC-015,2023-12-11T12:32:17Z,34.6,interlock_trip,warning,,Interlock Trip occurred on well BGW-04,66.5,188650.7,unknown,0.46,3291.9,7.3,41.5,parameter_adjustment,,weak,synthetic
EVT-00005,BGW-15,CYC-011,2023-12-12T07:23:28Z,60.0,routine_maintenance,info,,Routine Maintenance occurred on well BGW-15,140.8,484653.15,unknown,0.292,2432.7,7.5,51.6,parameter_adjustment,4.9,weak,synthetic
EVT-00035,BGW-05,CYC-013,2023-12-16T16:24:42Z,21.6,pump_unseating,warning,,Pump Unseating occurred on well BGW-05,115.6,403736.34,unknown,0.272,2170.5,5.5,37.7,pump_reset,27.1,weak,synthetic
EVT-00109,BGW-04,CYC-015,2023-12-26T12:00:21Z,32.5,tubing_split,critical,,Tubing Split occurred on well BGW-04,91.0,317817.7,corrosion,0.252,57.7,5.4,40.0,tubing_repair,15.0,weak,synthetic
EVT-00018,BGW-04,CYC-005,2023-12-31T09:56:57Z,14.8,workover,critical,,Workover occurred on well BGW-04,161.8,136405.85,high_viscosity,0.271,3942.8,5.7,54.4,tubing_repair,4.9,weak,synthetic
EVT-00099,BGW-11,CYC-012,2024-01-15T07:56:39Z,56.6,interlock_trip,warning,,Interlock Trip occurred on well BGW-11,53.4,191456.26,unknown,0.385,4153.3,7.0,44.0,parameter_adjustment,93.5,weak,synthetic
EVT-00009,BGW-11,CYC-011,2024-01-17T10:37:20Z,21.5,pump_unseating,warning,,Pump Unseating occurred on well BGW-11,54.5,377172.92,high_viscosity,0.31,4992.3,8.0,22.6,pump_reset,2.1,weak,synthetic
EVT-00107,BGW-05,CYC-005,2024-01-24T19:25:10Z,55.5,rod_failure,critical,648.8,Rod Failure occurred on well BGW-05,140.0,380626.37,mechanical_fatigue,0.105,11341.0,4.1,27.5,rod_replacement,39.1,weak,synthetic
EVT-00135,BGW-15,CYC-015,2024-01-27T04:47:56Z,38.7,rod_failure,critical,354.4,Rod Failure occurred on well BGW-15,166.4,370963.08,mechanical_fatigue,0.096,8568.0,6.0,39.7,rod_replacement,45.9,weak,synthetic
EVT-00096,BGW-15,CYC-001,2024-02-08T08:14:59Z,29.8,pump_unseating,warning,,Pump Unseating occurred on well BGW-15,136.6,419501.7,unknown,0.327,904.2,5.0,35.3,pump_reset,12.1,weak,synthetic
EVT-00126,BGW-15,CYC-011,2024-02-11T23:55:33Z,39.3,pump_unseating,warning,,Pump Unseating occurred on well BGW-15,151.7,172121.7,unknown,0.439,190.4,4.2,42.5,pump_reset,3.7,weak,synthetic
EVT-00102,BGW-05,CYC-014,2024-02-20T19:45:02Z,43.1,routine_maintenance,info,,Routine Maintenance occurred on well BGW-05,105.7,451814.71,unknown,0.294,3398.0,5.0,35.5,parameter_adjustment,27.0,weak,synthetic
EVT-00116,BGW-11,CYC-008,2024-02-25T15:25:26Z,24.3,interlock_trip,warning,,Interlock Trip occurred on well BGW-11,9.0,435668.4,unknown,0.246,4901.1,7.8,22.6,parameter_adjustment,39.2,weak,synthetic
EVT-00089,BGW-11,CYC-007,2024-03-06T13:28:33Z,34.3,rod_failure,critical,418.6,Rod Failure occurred on well BGW-11,94.7,335683.85,mechanical_fatigue,0.086,10194.3,5.7,36.1,rod_replacement,9.9,weak,synthetic
EVT-00093,BGW-04,CYC-013,2024-03-08T03:39:06Z,39.5,routine_maintenance,info,,Routine Maintenance occurred on well BGW-04,79.0,284049.06,unknown,0.452,3154.7,4.6,22.4,parameter_adjustment,67.7,weak,synthetic
EVT-00031,BGW-11,CYC-005,2024-03-13T04:12:01Z,25.9,routine_maintenance,info,,Routine Maintenance occurred on well BGW-11,37.1,166788.67,unknown,0.413,4168.0,5.0,22.9,parameter_adjustment,6.6,weak,synthetic
EVT-00120,BGW-11,CYC-003,2024-04-02T09:29:27Z,51.9,rod_failure,critical,629.4,Rod Failure occurred on well BGW-11,151.2,225330.04,high_viscosity,0.11,9966.8,6.2,30.2,rod_replacement,20.2,weak,synthetic
EVT-00078,BGW-15,CYC-010,2024-04-25T19:38:41Z,7.4,tubing_split,critical,,Tubing Split occurred on well BGW-15,132.0,434155.55,mechanical_fatigue,0.375,204.2,8.0,49.7,tubing_repair,73.8,weak,synthetic
