# Dataset: Baghewala Digital Twin - ML Training Feature Matrix
# Version: 1.3.0
# Generated: 2026-08-27T13:55:00Z
# Description: Pre-computed point-in-time correct features with multi-target labels
# Schema: WellState Canonical v1.0 (Feature Store Export)
# Point-in-Time: All features use trailing windows only (no future leakage)
# Split Strategy: By well AND by time (70% train / 15% val / 15% test)
# Feature Groups: thermal, mechanical, dynamometer, production, css_context, history, quality
# Target Models: Production Forecaster, Viscosity Corrector, Dyno Classifier, Failure Risk
# Field: Baghewala, Jaisalmer, Rajasthan
# Random Seed: 42
sample_id,well_id,cycle_id,ts,cycle_day,phase,surface_temp_c,bht_estimate_c,dBHT_dt_1h,dBHT_dt_6h,viscosity_cp_physics,viscosity_cp_corrected,visc_ratio_vs_peak,thermal_viscosity_index,spm,stroke_len_in,vfd_pct,motor_current_a,motor_current_rolling_std_1h,spm_x_visc_interaction,pprl_lbs,mprl_lbs,card_area_in_lbs,card_compression_frac,fmi,downstroke_compression_index,fourier_h1,fourier_h2,fourier_h3,fourier_h4,flow_bopd,flow_bopd_lag_1h,flow_bopd_lag_6h,flow_bopd_lag_24h,flow_bopd_rolling_mean_24h,flow_bopd_rolling_std_24h,water_cut_pct,days_since_injection,cumulative_steam_volume_m3,prior_cycle_peak_bht_c,time_since_last_phase_transition_h,phase_transition_active,days_since_last_failure,failure_count_trailing_180d,well_age_days,sensor_quality_score,cross_sensor_residual,missingness_rate_1h,target_flow_bopd_1h,target_flow_bopd_6h,target_flow_bopd_24h,target_viscosity_residual,target_card_class,target_failure_7d,target_failure_30d,target_rod_floating_risk,source,label_source,split
FEAT-0000000,BGW-07,CYC-3,2025-01-01T00:00:00Z,18.330782537041355,produce,42.98567629329582,160.51003352417504,5.784772711906695,13.079782234612363,82.09835557753166,82.99983094913182,0.3347057050156498,101698.61612114117,4.919177669481712,80,47.02841410745065,28.513805822673703,1.1956386791229905,21.683331729334643,14351.988238409172,3220.257585624248,81656.49038415612,0.779856902051073,0.21468383904161653,1.1856350764592751,8.252212363554193,8.966877433645404,2.235967038992155,3.816629816889539,90.95919958534337,93.11733417352545,95.11281600320433,63.610081605079465,107.3778291282734,-0.6225723599381006,60.776543646651255,36.40303170496045,3771.801185761123,199.58613400827767,502.9127993530115,False,129.66007060572804,1,576,0.950996294539594,-0.23472477573023048,0.0015076738287256198,97.42096047760316,84.73642045878961,132.85198213270493,0.9014753716001564,Normal,False,False,15.641268135393066,synthetic,ground_truth,val
FEAT-0000001,BGW-20,CYC-1,2025-01-01T01:00:00Z,24.47339716542163,inject,66.29403770110235,139.21984226006367,-0.1004476340786012,-1.9374125408308043,148.8869054901497,153.80142177003165,0.41652766693086185,184432.34508647345,7.8598221309463465,144,40.61649861809517,24.190086170391965,1.7099354506033084,39.3241598621597,14440.651497670799,3038.024064829813,79061.9944087862,0.6565192711404809,0.20253493765532088,1.2171984302916363,13.44289440369578,0.5449026082022681,3.079986825656939,-1.7546522526732824,149.43216384716985,140.12495852105528,142.8720278970018,154.13806472781204,136.19781481690723,1.8401480909907502,37.941468200396685,22.336527797575854,6221.719380916412,197.9743202554625,135.01824918678852,False,157.68229528268176,3,1890,0.8221403831033711,-0.1515956372615134,0.03097601994349654,151.9071883555353,152.77013609848592,195.29769774275988,4.914516279881951,Rod_Floating,False,False,13.701401514011202,synthetic,ground_truth,train
FEAT-0000002,BGW-15,CYC-3,2025-01-01T02:00:00Z,24.204426803360768,produce,51.33871875665793,186.57135697425497,1.0907525268465994,-16.381873667158057,42.70441936566518,45.13039622777532,0.3552985908891454,52899.72401022823,4.173715979214449,80,97.27133202230938,7.580025202258229,0.9121756065159652,15.669391971540676,15928.308084247416,3000.342401485612,117743.78869675728,0.7796489045833631,0.20002282676570746,1.3233748008316786,1.185951006662722,11.397725660936576,-1.2875802893863684,-2.8859617770084727,220.65240018046896,218.86908508719574,200.63646557337546,129.32853303251372,232.53234386320585,11.44822353842552,32.0986340264422,22.15871216686779,7311.406577620814,211.12796408857184,556.4794913682855,False,340.7629662767792,1,3093,0.9216810542316104,0.1995067572786544,0.041249929474419654,226.01464714381225,218.43680557667165,168.1282887189966,2.42597686211014,Fluid_Pound,False,True,9.074152622244224,synthetic,ground_truth,train
FEAT-0000003,BGW-11,CYC-3,2025-01-01T03:00:00Z,28.031743893638932,produce,48.144157993975135,116.15287314506212,4.410687136599772,30.212199026474178,305.3991463334848,349.1310992547784,0.34151897194775804,378310.50729587674,6.563762388340575,144,58.80097179369168,20.61845350829615,0.6256686850029873,37.555351514724784,14231.010980621057,3731.2095182035523,122443.80029899985,0.8898705690999005,0.24874730121357017,1.4254602257706628,14.586453951652443,8.175376946799682,3.285016265443998,-3.458067392432447,202.02703739025958,206.15515906208165,201.18436320904888,166.49023657799637,222.5141454710313,12.6912928478281,47.927311018593976,64.8154605477732,5985.038635440556,207.4193985714854,210.64048742736145,False,356.63426548697356,2,851,0.9139595204878397,-0.047051608886319,0.04081964343497654,221.19193495749158,233.4746702511205,190.37797266289508,43.73195292129361,Rod_Floating,False,False,11.24157024504999,synthetic,ground_truth,train
FEAT-0000004,BGW-08,CYC-1,2025-01-01T04:00:00Z,23.336634203846327,shut_in,53.04902236801118,149.846496156635,7.532583706073856,-9.340431869379044,109.79092703299429,101.19578672810944,0.8559399878331084,136002.54552441312,4.072998604076332,120,81.28420270892283,16.80630540268584,1.5208165285189323,19.137301203012644,16929.440524409158,3884.2359029530617,133938.96102597442,0.8958958865618731,0.25894906019687075,0.7773501269737164,-5.569003422368482,-6.929553442310285,2.566186141463222,0.991410526509622,172.29787616673013,169.5397577365625,168.80306806597844,170.16050081833183,143.16625199344878,5.171030207793622,28.642694561411027,4.5472480271092675,3493.3926053896957,217.59971910047173,117.52128454311311,False,19.00154657446467,4,3354,0.868267215302652,-0.02662749328625121,0.03487314266917633,178.72998186699942,205.7859361152111,151.61654064478924,-8.59514030488485,Normal,False,False,13.237459401082132,synthetic,ground_truth,val
FEAT-0000005,BGW-21,CYC-2,2025-01-01T05:00:00Z,22.683314906379596,soak,51.25214746112055,76.23257300425215,0.20280521634220267,-14.369468051830301,1324.9220878937053,1270.2354792742508,0.24591480822043682,1641235.5869890086,4.815895087398688,144,76.50643774787687,20.02749829912473,0.7430162788178812,34.621994403330696,15236.388276636166,3883.4668106503423,92672.35581680306,0.8725648170199805,0.2588977873766895,1.1459332465366399,-8.586434610348944,-1.98915202573587,-0.4288199996490781,-7.137011367152136,175.19200663609467,163.35574469989976,203.1658833308027,152.81230041252235,160.04569808357033,5.075591371733543,57.524497381489795,30.148091700474474,3959.4620052772643,213.5939871753857,206.3972768930124,False,179.99065847649138,3,2836,0.8558633080745573,0.11970060571177679,0.026286193902398964,179.50360790286817,183.11165756566788,153.30323530552016,-54.686608619454546,Normal,False,False,2.8459336698448645,synthetic,ground_truth,train
FEAT-0000006,BGW-07,CYC-1,2025-01-01T06:00:00Z,7.788977284148577,produce,42.21084048709973,128.248617526492,1.080663763490315,2.6085319352261025,207.38863666092902,186.53850489464944,0.3601930039432317,256900.85019728175,5.855901012799295,144,83.48252340364243,17.64623374771101,1.183954712461381,31.23885736359042,13993.320096699605,2490.480819136918,76153.60927517165,0.8165803958183603,0.16603205460912787,0.9123061245465698,1.5271866649833128,-5.338223512177618,-4.551786749805232,-0.7924180790275226,249.64627111895823,252.78815044193675,234.40844980158667,305.4782312750551,216.15793507011372,13.853209553926305,57.42936150102938,38.320570669425074,4626.760761178396,188.02176526478485,600.9927831254822,False,129.19201176076763,4,1883,0.9023448479516751,0.04916994471238211,0.01977996970978331,270.7114099510542,247.64188988188283,311.1020593193476,-20.85013176627959,Normal,False,False,18.437474205111936,synthetic,ground_truth,val
FEAT-0000007,BGW-19,CYC-3,2025-01-01T07:00:00Z,2.737829504311362,soak,48.6836213284788,144.55695521854614,-12.914561557147316,-8.105899710617088,127.51873785462398,101.19865010092353,0.1,157962.71530777152,4.63309213215252,80,92.9711331606307,22.05016368377772,1.293691258602442,22.462450630292423,15288.546020172022,3631.0918412592846,108305.93134026018,0.8645894303603999,0.24207278941728563,0.7294646361031856,-3.287379945439834,-2.434181943160578,3.8966656739408885,1.1418946840551734,234.02908712483662,240.36299665287348,261.3909426260232,143.97811593169402,207.55330349517303,4.40183358230644,33.959213032528666,14.695525248370872,5523.597299693212,211.46253941916783,454.2913940599657,False,87.87923394385632,0,719,0.9802850018211301,0.006957687516840644,0.020705961775767653,236.28083126327948,231.7270400940506,229.0142294284303,-26.32008775370045,Rod_Floating,False,False,5.885379253420164,synthetic,ground_truth,val
FEAT-0000008,BGW-23,CYC-3,2025-01-01T08:00:00Z,16.010384486560426,produce,53.07106684672543,130.36765023754532,-4.346612900212896,-30.200924663080777,194.25674718079168,202.2220419978224,0.395335525645888,240633.83756601738,7.955295358813801,80,53.98887704654512,16.85502045499077,2.06409152457738,41.91788895175345,13423.863658407834,2423.325015754461,94845.1450171532,0.7230699092634764,0.1615550010502974,0.6921221055154303,13.51864843821499,5.810513911772739,-1.1255096717317108,-0.7379177443843599,276.33733193188726,261.7628897263765,280.98800995378195,306.3748070643794,315.45899105604025,10.332868293560447,53.987202598014214,44.53264587148393,5116.347032635744,192.2267819877371,436.44592935458047,False,255.11108703562323,2,673,0.9846093034466358,0.10159501709032429,0.005545321182816598,262.6607462697321,270.54714999750956,334.50402933321345,7.965294817030724,Normal,False,False,6.69670615381502,synthetic,ground_truth,test
FEAT-0000009,BGW-11,CYC-3,2025-01-01T09:00:00Z,4.608592030455901,produce,45.74844384418274,106.8433518308949,-7.555167145789948,-21.61602069571724,418.3314048220293,382.11087957598147,0.46369478562743327,518204.349540667,7.092049981219883,120,65.54512106127702,18.725746097724187,0.764735568404649,42.809556574302285,13908.633224340087,3413.322137475695,97359.85971829736,0.7025221617584736,0.22755480916504633,0.5980357353823251,11.052600307630131,6.452085431523765,-4.395046452732829,3.409393702491355,170.6552163347801,173.75242407035253,175.23079105517112,163.12127196580067,182.98782532358786,8.332476900870653,73.55912521940476,81.57591415150232,4736.2824195476305,206.15338368082715,592.4335190548378,False,111.88425710317088,3,505,0.8641900998715515,-0.04225586532642448,0.019552936825292813,175.52760579170268,143.78629771116843,179.42442150183928,-36.22052524604783,Rod_Floating,False,False,15.02317275654753,synthetic,ground_truth,train
