# Dataset: Baghewala Digital Twin - High-Resolution Sensor Telemetry Stream
# Version: 1.3.0
# Generated: 2026-08-27T13:55:00Z
# Description: 5-minute interval sensor telemetry for 2 wells across 1 CSS cycle each
# Schema: WellState Canonical v1.0 (Meso Domain - Streaming)
# Sampling: 5-minute intervals (~25,920 total records)
# Anomaly Injection: 1.5% dropout, 0.5% stuck-at, 1% bias drift
# Field: Baghewala, Jaisalmer, Rajasthan
# Random Seed: 42
telemetry_id,well_id,cycle_id,ts,cycle_day,phase,temp_1_c,temp_2_c,pressure_in_psi,pressure_out_psi,flow_rate_bopd,tank_level_pct,spm,stroke_len_in,vfd_pct,motor_current_a,motor_torque_nm,rod_load_peak_lb,rod_load_min_lb,vibration_mm_s,source,quality_flag
TEL-B9B608E7,BGW-08,CYC-202,2026-01-01T00:00:00Z,0.0,inject,92.05059342743583,82.66603350390258,229.6175768179854,29.582537686688692,0.0,22.609352818632022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39561987202253146,synthetic,ok
TEL-40E238B0,BGW-08,CYC-202,2026-01-01T00:05:00Z,0.003,inject,81.58698846787647,73.77334827365148,375.9344251603597,20.71237811594334,0.0,17.67086913285512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48426984678552737,synthetic,ok
TEL-0C518A1A,BGW-08,CYC-202,2026-01-01T00:10:00Z,0.007,inject,81.74436766838073,73.22404037431147,494.31121188905894,46.1285227186448,0.0,18.63987200713093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478087939464815,synthetic,ok
TEL-503ACE22,BGW-08,CYC-202,2026-01-01T00:15:00Z,0.01,inject,84.12040678869508,74.89342255893706,274.3038020587729,38.810353001926636,0.0,13.408608321167607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17466045778670886,synthetic,ok
TEL-1D8376FF,BGW-08,CYC-202,2026-01-01T00:20:00Z,0.014,inject,85.36824924791142,77.03948482766238,212.2608826924273,33.35215625220519,0.0,28.792569002144052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231266128692917,synthetic,ok
TEL-51E8F15D,BGW-08,CYC-202,2026-01-01T00:25:00Z,0.017,inject,89.43238089233324,81.59839216897022,424.86952284531003,38.30232612836899,0.0,21.94230369212499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21558370943886315,synthetic,ok
TEL-7F9D1B4F,BGW-08,CYC-202,2026-01-01T00:30:00Z,0.021,inject,79.98871220401622,71.6871424719754,282.4477490864519,26.18477417522631,0.0,25.91287638481432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4733637440104776,synthetic,ok
TEL-7DC25D0B,BGW-08,CYC-202,2026-01-01T00:35:00Z,0.024,inject,95.0366812922215,85.36006771682665,227.44167801743512,40.33114632541615,0.0,21.629279267011576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3229777734878895,synthetic,ok
TEL-4C32F6CF,BGW-08,CYC-202,2026-01-01T00:40:00Z,0.028,inject,95.89563193846071,87.07153287646926,268.15325213944857,21.391759426076614,0.0,12.188169396901797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18354806518617497,synthetic,ok
TEL-12DC077D,BGW-08,CYC-202,2026-01-01T00:45:00Z,0.031,inject,87.35108277171955,79.23080200109762,242.80935885982555,35.765322015851254,0.0,28.97119012422191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3836653377248065,synthetic,ok
TEL-63479B37,BGW-08,CYC-202,2026-01-01T00:50:00Z,0.035,inject,88.63478035535795,78.51249285318276,333.16539455388096,32.993490692040524,0.0,16.237676489769143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24646568250402862,synthetic,ok
TEL-8FA20803,BGW-08,CYC-202,2026-01-01T00:55:00Z,0.038,inject,84.57870687333077,74.60000392355836,303.3829703829603,24.973682756705102,0.0,19.848212845387472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20563846376502842,synthetic,ok
TEL-B7C9298E,BGW-08,CYC-202,2026-01-01T01:00:00Z,0.042,inject,81.59601345767716,73.60708421449634,315.561442307182,27.33783678516399,0.0,24.129237627775634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16240507568706636,synthetic,ok
TEL-5BCE9FDE,BGW-08,CYC-202,2026-01-01T01:05:00Z,0.045,inject,85.60317416559526,76.76869824348015,208.61434374877695,39.3126615977111,0.0,20.575625953164344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32234804457224825,synthetic,ok
TEL-32C6070E,BGW-08,CYC-202,2026-01-01T01:10:00Z,0.049,inject,80.78937083190716,71.96052723969068,440.4180990949493,49.30235571928938,0.0,26.642838289787104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1603395838850368,synthetic,ok
TEL-0063C298,BGW-08,CYC-202,2026-01-01T01:15:00Z,0.052,inject,91.73355066475652,81.98544092513401,268.31955605977413,44.016958124100206,0.0,12.133634734227574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2592127328820188,synthetic,ok
TEL-8B46C4B5,BGW-08,CYC-202,2026-01-01T01:20:00Z,0.056,inject,93.21616639506672,84.68388377231824,263.1570571527077,40.429727205747106,0.0,13.759452061134635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3037206454888871,synthetic,ok
TEL-31F5760D,BGW-08,CYC-202,2026-01-01T01:25:00Z,0.059,inject,96.71135287088924,87.24317257922725,459.00345878888015,28.5934757126,0.0,27.31710130709236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26586402974638035,synthetic,ok
TEL-F07464AB,BGW-08,CYC-202,2026-01-01T01:30:00Z,0.062,inject,94.3803752389365,85.91183779307288,401.9897102104029,31.717214665555947,0.0,29.218534458777757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22201771051624988,synthetic,ok
TEL-E492E99D,BGW-08,CYC-202,2026-01-01T01:35:00Z,0.066,inject,88.44166202349699,78.56567428731711,205.37243432630297,25.22920220785834,0.0,25.103320014027922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2236041572969405,synthetic,ok
