# Dataset: Baghewala Digital Twin - Well Master Data & Reservoir Properties
# Version: 1.3.0
# Generated: 2026-08-27T13:55:00Z
# Description: Static/quasi-static properties for 23 Baghewala wells
# Schema: WellState Canonical v1.0 (Static Domain)
# Field: Baghewala, Jaisalmer, Rajasthan (Jodhpur Sandstone)
# Sources: OIL public reports, PS-26120 specification, published field data
# Note: Values are physics-calibrated estimates; labeled as 'synthetic' until OIL provides actual well data
well_id,well_name,field,block,formation,discovery_year,production_start_year,depth_m,reservoir_temp_c,crude_api_gravity,crude_viscosity_at_50c_cp,asphaltene_content_pct,rod_string_taper,rod_material,rod_total_length_m,pump_depth_m,pump_barrel_diameter_in,tubing_od_in,casing_od_in,max_spm,max_motor_current_a,max_pprl_lb,min_downstroke_tension_lb,max_wellhead_pressure_psi,css_cycles_completed,total_production_bbl,latitude,longitude,status,last_updated
BGW-01,Baghewala-01,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2017,1056.3,46.6,15.1,12209.4,19.7,"1""-7/8""-3/4""",API Grade D,1147.6,957.9,1.59,2.375,5.5,8.0,55.0,24000.0,2000.0,500.0,11,27895.4,27.13,70.609,producing,2026-08-27T08:31:03Z
BGW-02,Baghewala-02,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2020,1197.3,47.6,14.0,12417.5,19.9,"1""-7/8""-3/4""",API Grade C,1069.5,1003.8,2.26,2.375,5.5,8.0,55.0,24000.0,2000.0,500.0,9,18704.5,27.1695,70.6207,producing,2026-08-27T08:31:03Z
BGW-03,Baghewala-03,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2020,1184.1,47.9,15.9,11656.1,20.8,"1""-7/8""-3/4""",API Grade C,1144.3,1126.1,1.55,2.375,7.0,8.0,55.0,24000.0,2000.0,500.0,4,86978.6,27.1733,70.576,shut_in,2026-08-27T08:31:03Z
BGW-04,Baghewala-04,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2019,1090.7,46.7,17.4,12105.5,19.8,"1""-7/8""-3/4""",API Grade D,1152.3,992.8,2.23,2.375,7.0,8.0,55.0,24000.0,2000.0,500.0,9,34295.3,27.1851,70.6376,producing,2026-08-27T08:31:03Z
BGW-05,Baghewala-05,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2019,1260.7,47.6,15.1,10096.3,17.2,"1""-7/8""-3/4""",API Grade C,1016.5,1178.3,2.07,2.875,5.5,8.0,55.0,24000.0,2000.0,500.0,10,45606.9,27.1829,70.5918,shut_in,2026-08-27T08:31:03Z
BGW-06,Baghewala-06,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2018,1111.7,47.1,15.3,11753.8,21.3,"1""-7/8""-3/4""",API Grade C,1090.5,1199.3,1.64,2.875,5.5,8.0,55.0,24000.0,2000.0,500.0,3,87499.3,27.0306,70.532,workover,2026-08-27T08:31:03Z
BGW-07,Baghewala-07,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2020,1199.1,46.8,17.0,11404.1,16.8,"1""-7/8""-3/4""",API Grade D,1170.1,978.6,2.38,2.875,7.0,8.0,55.0,24000.0,2000.0,500.0,4,36415.0,27.0316,70.5006,workover,2026-08-27T08:31:03Z
BGW-08,Baghewala-08,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2019,1293.0,47.5,16.5,10319.2,19.4,"1""-7/8""-3/4""",API Grade D,1038.2,1140.6,2.04,2.375,7.0,8.0,55.0,24000.0,2000.0,500.0,10,11752.9,27.1858,70.6757,shut_in,2026-08-27T08:31:03Z
BGW-09,Baghewala-09,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2018,1064.5,47.8,18.7,10257.0,18.4,"1""-7/8""-3/4""",API Grade D,1244.5,1083.2,1.63,2.875,5.5,8.0,55.0,24000.0,2000.0,500.0,7,57490.6,27.1213,70.6929,workover,2026-08-27T08:31:03Z
BGW-10,Baghewala-10,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2018,1228.2,46.8,17.4,11120.3,21.3,"1""-7/8""-3/4""",API Grade C,1030.3,1006.2,1.84,2.375,5.5,8.0,55.0,24000.0,2000.0,500.0,3,16389.4,27.1262,70.5458,producing,2026-08-27T08:31:03Z
